ISOTime,Overflow
16/11/2011 00:00:00,  0.00
17/11/2011 00:00:00,  0.00
18/11/2011 00:00:00,  0.00
19/11/2011 00:00:00,  0.00
20/11/2011 00:00:00,  0.00
21/11/2011 00:00:00,  0.00
22/11/2011 00:00:00,  0.00
23/11/2011 00:00:00,  0.00
24/11/2011 00:00:00,  0.00
25/11/2011 00:00:00,  0.00
26/11/2011 00:00:00,  0.00
27/11/2011 00:00:00,  0.00
28/11/2011 00:00:00,  0.00
29/11/2011 00:00:00,  0.00
30/11/2011 00:00:00,  0.00
01/12/2011 00:00:00,  0.00
02/12/2011 00:00:00,  0.00
03/12/2011 00:00:00,  0.00
04/12/2011 00:00:00,  0.00
05/12/2011 00:00:00,  0.00
06/12/2011 00:00:00,  0.00
07/12/2011 00:00:00,  0.00
08/12/2011 00:00:00,  0.00
09/12/2011 00:00:00,  0.00
10/12/2011 00:00:00,  0.00
11/12/2011 00:00:00,  0.00
12/12/2011 00:00:00,  0.00
13/12/2011 00:00:00,  0.00
14/12/2011 00:00:00,  0.00
15/12/2011 00:00:00,  0.00
16/12/2011 00:00:00,  0.00
17/12/2011 00:00:00,  0.00
18/12/2011 00:00:00,  0.00
19/12/2011 00:00:00,  0.00
20/12/2011 00:00:00,  0.00
21/12/2011 00:00:00,  0.00
22/12/2011 00:00:00,  0.00
23/12/2011 00:00:00,  0.00
24/12/2011 00:00:00,  0.00
25/12/2011 00:00:00,  0.00
26/12/2011 00:00:00,  0.00
27/12/2011 00:00:00,  0.00
28/12/2011 00:00:00,  0.00
29/12/2011 00:00:00,  0.00
30/12/2011 00:00:00,  0.00
31/12/2011 00:00:00,  0.00
01/01/2012 00:00:00,  0.00
02/01/2012 00:00:00,  0.00
03/01/2012 00:00:00,  0.00
04/01/2012 00:00:00,  0.00
05/01/2012 00:00:00,  0.00
06/01/2012 00:00:00,  0.00
07/01/2012 00:00:00,  0.00
08/01/2012 00:00:00,  0.00
09/01/2012 00:00:00,  0.00
10/01/2012 00:00:00,  0.00
11/01/2012 00:00:00,  0.00
12/01/2012 00:00:00,  0.00
13/01/2012 00:00:00,  0.00
14/01/2012 00:00:00,  0.00
