ISOTime,Flow,Sal,Temp,TRACE_1,AGE,SS1,SS2,Oxy,Sil,Amm,Nit,N2O,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,DOCR,DONR,DOPR,CPOM,GRN,CRYTO,DIATOM,DINO,DINO_IN,BGA,BGA_RHO,CHAET,CHAET_IN,CHAET_IP,BIV
01/01/2016 00:00:00,0.006183,0.249995,18.843930,0.000000,0.000000,5.246332,0.582926,212.614084,233.386830,4.750919,14.252756,0.000000,1.832135,0.183214,537.500000,1167.000000,21.379133,4.750919,0.822425,1.028032,4837.500000,49.884644,0.205606,116.700000,1.611111,2.470370,2.470370,2.470370,0.233054,1.074074,1000.000000,0.000000,0.000000,0.000000,0.000000
02/01/2016 00:00:00,0.006027,0.250681,18.806433,0.000000,0.000000,5.259312,0.584368,212.947590,233.386830,4.747839,14.243517,0.000000,1.828910,0.182891,537.500000,1167.000000,21.365275,4.747839,0.820978,1.026222,4837.500000,49.852308,0.205244,116.700000,1.611111,2.470370,2.470370,2.470370,0.233054,1.074074,1000.000000,0.000000,0.000000,0.000000,0.000000
03/01/2016 00:00:00,0.005876,0.251368,18.768936,0.000000,0.000000,5.272291,0.585810,213.281096,233.386830,4.744779,14.234338,0.000000,1.825688,0.182569,537.500000,1167.000000,21.351507,4.744779,0.819531,1.024414,4837.500000,49.820183,0.204883,116.700000,1.611111,2.470370,2.470370,2.470370,0.233054,1.074074,1000.000000,0.000000,0.000000,0.000000,0.000000
04/01/2016 00:00:00,0.005728,0.252054,18.731439,0.000000,0.000000,5.285271,0.587252,213.614602,233.386830,4.741739,14.225216,0.000000,1.822469,0.182247,537.500000,1167.000000,21.337824,4.741739,0.818086,1.022607,4837.500000,49.788256,0.204521,116.700000,1.611111,2.470370,2.470370,2.470370,0.233054,1.074074,1000.000000,0.000000,0.000000,0.000000,0.000000
05/01/2016 00:00:00,0.005584,0.252740,18.693942,0.000000,0.000000,5.298251,0.588695,213.948108,233.386830,4.738717,14.216151,0.000000,1.819251,0.181925,537.500000,1167.000000,21.324226,4.738717,0.816642,1.020802,4837.500000,49.756528,0.204160,116.700000,1.611111,2.470370,2.470370,2.470370,0.233054,1.074074,1000.000000,0.000000,0.000000,0.000000,0.000000
06/01/2016 00:00:00,0.005444,0.253426,18.656446,0.000000,0.000000,5.311230,0.590137,214.281614,233.386830,4.735716,14.207148,0.000000,1.816037,0.181604,537.500000,1167.000000,21.310722,4.735716,0.815199,1.018999,4837.500000,49.725017,0.203800,116.700000,1.611111,2.470370,2.470370,2.470370,0.233054,1.074074,1000.000000,0.000000,0.000000,0.000000,0.000000
07/01/2016 00:00:00,0.005307,0.254112,18.618949,0.000000,0.000000,5.324210,0.591579,214.615119,233.386830,4.732733,14.198200,0.000000,1.812825,0.181283,537.500000,1167.000000,21.297301,4.732733,0.813757,1.017196,4837.500000,49.693702,0.203439,116.700000,1.611111,2.470370,2.470370,2.470370,0.233054,1.074074,1000.000000,0.000000,0.000000,0.000000,0.000000
08/01/2016 00:00:00,0.005173,0.254799,18.581452,0.000000,0.000000,5.337190,0.593021,214.948625,233.386830,4.729771,14.189313,0.000000,1.809616,0.180962,537.500000,1167.000000,21.283969,4.729771,0.812316,1.015396,4837.500000,49.662595,0.203079,116.700000,1.611111,2.470370,2.470370,2.470370,0.233054,1.074074,1000.000000,0.000000,0.000000,0.000000,0.000000
09/01/2016 00:00:00,0.029673,0.255485,18.543955,0.000000,0.000000,5.350169,0.594463,215.282131,233.386830,4.947183,14.841550,0.000000,2.062949,0.206295,537.500000,1167.000000,22.262325,4.947183,0.926035,1.157543,4837.500000,51.945425,0.231509,116.700000,1.611111,2.470370,2.470370,2.470370,0.233054,1.074074,1000.000000,0.000000,0.000000,0.000000,0.000000
10/01/2016 00:00:00,0.034219,0.256171,18.506458,0.000000,0.000000,5.363149,0.595905,215.615637,233.386830,4.968883,14.906648,0.000000,2.084089,0.208409,537.500000,1167.000000,22.359972,4.968883,0.935524,1.169406,4837.500000,52.173268,0.233881,116.700000,1.611111,2.470370,2.470370,2.470370,0.233054,1.074074,1000.000000,0.000000,0.000000,0.000000,0.000000
